time,longitude,latitude,mag,depth
2013-03-28 04:30:00,121.81,24.26,2.9,16.3
2013-03-28 09:45:00,120.99,23.93,3.5,14.3
2013-03-28 16:30:00,121.44,24.33,3.0,6.5
2013-03-29 05:30:00,121.0,23.91,3.6,14.3
2013-03-31 00:00:00,121.45,24.3,3.2,6.3
2013-03-31 08:45:00,121.97,21.18,5.5,162.2
2013-04-01 14:15:00,121.04,23.88,4.4,17.4
2013-04-02 22:30:00,120.75,23.16,2.5,5.9
2013-04-02 23:15:00,120.55,23.22,3.5,15.6
2013-04-04 21:00:00,121.58,23.92,2.5,8.9
2013-04-06 17:30:00,120.68,23.21,3.5,9.9
2013-04-07 12:30:00,122.04,24.83,3.8,13.2
2013-04-07 21:00:00,121.06,23.89,3.5,18.7
2013-04-08 07:30:00,121.81,24.34,3.1,9.5
2013-04-08 08:45:00,121.48,23.93,2.5,14.0
2013-04-08 10:15:00,121.81,24.34,3.2,8.0
2013-04-08 10:30:00,121.81,24.35,2.4,8.7
2013-04-09 07:00:00,121.86,24.79,4.1,99.2
2013-04-09 09:30:00,120.25,23.2,2.8,16.5
2013-04-09 16:30:00,120.71,23.76,3.1,22.3
2013-04-10 13:00:00,121.71,24.25,2.9,12.6
2013-04-11 04:15:00,122.22,20.65,6.1,22.1
2013-04-11 07:30:00,121.88,24.81,3.2,9.5
2013-04-12 09:00:00,121.36,24.39,2.3,6.8
2013-04-12 19:30:00,121.45,24.37,2.8,6.3
2013-04-14 06:15:00,121.45,24.28,3.2,6.7
2013-04-15 05:15:00,121.43,23.67,3.1,15.1
2013-04-15 13:45:00,121.48,24.29,4.2,7.1
2013-04-16 02:15:00,121.48,24.29,3.3,6.6
2013-04-16 23:00:00,121.59,24.61,4.5,68.0
2013-04-19 09:30:00,121.78,23.4,3.7,27.8
2013-04-20 12:30:00,122.44,24.78,5.0,118.9
2013-04-20 21:15:00,121.48,24.29,3.2,7.1
2013-04-21 07:00:00,121.44,21.99,4.4,15.5
2013-04-21 11:00:00,122.34,24.41,5.0,70.6
2013-04-23 08:00:00,121.7,24.16,3.7,54.2
2013-04-23 14:30:00,121.48,23.8,2.8,11.0
2013-04-24 06:30:00,121.37,23.11,3.6,20.2
2013-04-26 17:30:00,121.38,24.06,4.0,67.3
2013-04-27 00:45:00,121.96,24.45,3.1,12.7
2013-04-27 07:30:00,121.45,24.37,3.3,7.0
2013-04-27 09:30:00,121.45,24.38,3.0,6.8
2013-04-28 18:00:00,121.04,24.71,3.0,8.9
2013-05-01 11:30:00,120.66,22.85,3.8,17.2
2013-05-03 05:15:00,121.96,24.44,3.7,12.7
2013-05-03 20:30:00,121.62,24.01,3.5,9.2
2013-05-05 04:00:00,121.52,24.05,2.9,19.4
2013-05-07 00:45:00,121.44,24.38,3.3,7.5
2013-05-08 11:15:00,121.37,23.64,3.3,17.2
2013-05-09 22:00:00,121.45,24.38,2.9,6.3
2013-05-10 12:15:00,121.45,24.4,3.1,5.8
2013-05-14 19:30:00,121.76,24.28,2.7,13.0
2013-05-14 22:45:00,120.96,23.21,3.7,5.7
2013-05-15 04:30:00,121.67,24.04,3.7,6.9
2013-05-16 06:15:00,121.68,24.05,3.9,6.5
2013-05-16 07:45:00,120.79,23.02,4.2,2.8
2013-05-16 08:15:00,120.8,23.02,3.5,6.0
2013-05-16 10:00:00,121.61,24.0,3.0,8.4
2013-05-16 12:30:00,120.79,23.02,3.4,2.5
2013-05-16 13:45:00,120.96,23.2,3.7,6.4
2013-05-17 00:30:00,121.63,24.3,2.8,22.9
2013-05-17 05:15:00,120.95,23.21,4.0,5.8
2013-05-17 13:30:00,121.76,24.28,4.3,14.0
2013-05-17 14:45:00,121.66,21.99,3.1,9.0
2013-05-17 17:45:00,121.45,24.37,2.9,5.6
2013-05-17 20:45:00,121.75,24.27,2.5,13.6
2013-05-18 17:45:00,120.43,23.25,3.8,13.3
2013-05-19 08:15:00,121.66,24.37,4.4,58.9
2013-05-19 11:45:00,121.75,24.28,2.8,13.8
2013-05-19 15:15:00,121.76,24.28,2.7,13.9
2013-05-19 23:30:00,121.76,24.27,2.5,13.5
2013-05-20 20:15:00,121.47,23.93,3.5,18.1
2013-05-21 12:15:00,121.77,24.28,4.9,14.5
2013-05-21 12:30:00,121.76,24.28,3.4,13.0
2013-05-21 12:45:00,121.77,24.28,4.0,14.3
2013-05-21 13:15:00,121.76,24.28,3.6,13.0
2013-05-21 15:30:00,121.77,24.28,3.5,14.6
2013-05-21 16:00:00,121.97,24.43,3.7,14.0
2013-05-21 16:15:00,123.69,23.33,6.1,53.1
2013-05-21 18:15:00,121.76,24.27,3.5,12.9
2013-05-21 19:15:00,121.42,23.75,3.2,18.1
2013-05-21 20:00:00,121.78,24.28,3.0,13.7
2013-05-22 03:15:00,121.78,24.27,2.6,13.7
2013-05-22 05:15:00,121.77,24.28,3.1,13.5
2013-05-22 09:45:00,121.77,24.29,2.8,14.8
2013-05-22 16:30:00,120.75,23.16,2.5,6.9
2013-05-22 18:15:00,121.62,23.89,3.7,42.1
2013-05-23 14:15:00,121.52,24.09,3.8,19.9
2013-05-24 09:30:00,120.64,23.54,3.3,9.1
2013-05-25 14:00:00,121.84,24.79,3.6,71.4
